id,libelle,cours,variation,volume,isin,scraped_at
1,ALTEN,80.2,20.06,177371,1rPATE,"2026-07-29 10:31:17"
2,"SOPRA STERIA",193.8,12.54,144458,1rPSOP,"2026-07-29 10:31:17"
3,KERING,281.35,12.32,410434,1rPKER,"2026-07-29 10:31:17"
4,"BUREAU VERITAS",29.54,8.13,1134567,1rPBVI,"2026-07-29 10:31:17"
5,"ATOS GROUP",33.72,5.64,90038,1rPATO,"2026-07-29 10:31:17"
6,NEXANS,130.2,4.92,117242,1rPNEX,"2026-07-29 10:31:17"
7,VUSION,135.2,3.76,26343,1rPVU,"2026-07-29 10:31:17"
8,SEB,59.4,3.21,35652,1rPSK,"2026-07-29 10:31:17"
9,STELLANTIS,5.233,3.19,2600089,1rPSTLAP,"2026-07-29 10:31:17"
10,CAPGEMINI,104.85,3.1,392106,1rPCAP,"2026-07-29 10:31:17"
11,"FORVIA (EX FAURECIA)",9.34,2.84,233650,1rPFRVIA,"2026-07-29 10:31:17"
12,RENAULT,27.84,2.54,282183,1rPRNO,"2026-07-29 10:31:17"
13,"GTT (GAZTRANSPORT ET TEC.)",190.5,2.42,35709,1rPGTT,"2026-07-29 10:31:17"
14,CLARIANE,4.052,2.17,71571,1rPCLARI,"2026-07-29 10:31:17"
15,JCDECAUX,22.5,1.9,67003,1rPDEC,"2026-07-29 10:31:17"
16,WENDEL,83.175,1.87,8918,1rPMF,"2026-07-29 10:31:17"
17,OPMOBILITY,13.06,1.79,21672,1rPOPM,"2026-07-29 10:31:17"
18,TOTALENERGIES,75.09,1.78,766066,1rPTTE,"2026-07-29 10:31:17"
19,EMEIS,13.825,1.65,34042,1rPEMEIS,"2026-07-29 10:31:17"
20,ABIVAX,110.5,1.56,12105,1rPABVX,"2026-07-29 10:31:17"
21,"MAUREL & PROM",8.045,1.51,69070,1rPMAU,"2026-07-29 10:31:17"
22,MERCIALYS,12.16,1.5,68802,1rPMERY,"2026-07-29 10:31:17"
23,EURAZEO,46.72,1.39,18385,1rPRF,"2026-07-29 10:31:17"
24,ERAMET,42.76,1.38,12797,1rPERA,"2026-07-29 10:31:17"
25,MEDINCELL,25.58,1.35,17685,1rPMEDCL,"2026-07-29 10:31:17"
49,UBISOFT,5.548,1.35,385688,1rPUBI,"2026-07-29 10:32:20"
